mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
4.6509253118,0.0132280568,0.0131481895,0.0001749815,0.0001728749,-3.2187395368,-5.5709980344,37.7429194745,91.2017977475,4.6509441232,0.0131738543,21.6312812373,0.0001735504,4.7415082247,0.0906399731,4.3903927732,-0.3482055664,1.8251741795,0.9999959554,-0.0623901822,small,13,B
4.6526069380,0.0150282037,0.0120995816,0.0002258469,0.0001463999,-87.4889382077,9.7795815423,15576.1914473269,800.5498720093,4.6526312089,0.0121148386,21.6469771665,0.0001467693,4.8292489395,0.7925656911,1.7139194922,-0.2165222168,1.8297713756,0.9999947834,0.0501712757,medium,44,B
4.3911958228,0.0329465376,0.0080772187,0.0010854743,0.0000652415,-45.3816762378,-4.7881533323,2246.3628424754,23.9096685913,4.3913194177,0.0082052568,19.2836862282,0.0000673262,4.4343394269,0.0466933195,2.6354258858,-0.0410461426,1.1917937980,0.9999718547,0.1759695815,small,13,A
4.6507290056,0.0286855225,0.6519397328,0.0008228592,0.4250254152,-57.6309486107,-7.3996888700,4519.6956298860,52.8005784132,4.6508174704,0.6575878773,21.6301031431,0.4324218164,4.8730430006,1.6261787774,1.7139194922,-5.0000000000,1.8252917059,0.9999809787,-0.1307845468,large,174,B
4.6506068659,0.0395969825,0.0163951597,0.0015679210,0.0002688013,-60.2289791881,18.3792107495,3992.8426100063,977.4964859972,4.6507754345,0.0163990064,21.6297121424,0.0002689274,4.7415082247,0.7925656911,2.0210882900,-0.2165222168,1.8257068273,0.9999637547,-0.0216583426,small,13,B
4.4067965264,0.0302162056,0.0127966196,0.0009130191,0.0001637535,-29.7487506059,42.3018570711,2093.0260975802,6859.5098865859,4.4069001173,0.0129672665,19.4207686439,0.0001681500,5.0000000000,1.6261787774,1.7578661458,-0.6991577148,1.2259115699,0.9999764935,0.1616986555,large,174,A
4.6514261633,0.0242451926,0.0110445395,0.0005878294,0.0001219819,-46.7287564162,-3.6544817383,2860.8950725146,16.7849008211,4.6514893510,0.0110475874,21.6363531820,0.0001220492,4.8292489395,0.0466933195,3.1618701743,-0.1287841797,1.8269405042,0.9999864156,0.0234884511,small,13,B
4.4160588666,0.0280613051,0.1759414180,0.0007874368,0.0309553826,-25.6261957937,-28.2082434007,2173.3677903018,798.1297246358,4.4161480218,0.1759954833,19.5023633504,0.0309744102,5.0000000000,1.6261787774,1.8894009217,-5.0000000000,1.2463748306,0.9999798116,-0.0247850829,large,174,A
4.4331666397,0.0187998256,1.3918585442,0.0003534334,1.9372702072,-97.0508088612,-2.9851374485,14619.9861492164,6.9122324651,4.4332065019,1.4542959162,19.6533198885,2.1149766119,5.0000000000,1.1435285501,1.7139194922,-5.0000000000,1.2844200667,0.9999910083,-0.2898669866,medium,44,A
4.3916720419,0.0101185596,0.0131244856,0.0001023852,0.0001722521,3.9351770069,55.3963999739,1052.1314847495,6580.0409473844,4.3916836986,0.0132863451,19.2868857088,0.0001765270,4.9169896542,1.5384380627,3.7762077700,-0.5674743652,1.1918502323,0.9999973457,0.1556161485,medium,44,A
4.6526667808,0.0118794574,0.0170657080,0.0001411215,0.0002912384,-19.4689163627,38.7984350488,2521.5528601263,2730.1335794989,4.6526819464,0.0170827320,21.6474492944,0.0002918197,4.8730430006,1.3629566332,2.8109073153,-0.2165222168,1.8298485413,0.9999967405,0.0446332198,medium,44,B
4.3918413533,0.0114587683,0.5993072092,0.0001313034,0.3591691311,-75.2884609780,-8.1007852137,16143.7990919643,63.6363283202,4.3918563018,0.6035304172,19.2884017755,0.3642489645,4.9169896542,0.2659688101,1.6701254311,-5.0000000000,1.1922488441,0.9999965963,-0.1180933852,medium,44,A
4.6507035833,0.0329631923,0.9978201572,0.0010865720,0.9956450661,-53.6048456904,-4.5938349542,3771.6506161561,19.1072583870,4.6508203999,1.0191978383,21.6301303921,1.0387642336,4.8730430006,0.6608783227,1.7139194922,-5.0000000000,1.8254867421,0.9999748826,-0.2037401820,medium,44,B
4.6516732068,0.0154750445,0.0159293166,0.0002394770,0.0002537431,-55.5296502561,43.3787198945,8145.9748071920,3776.0333255756,4.6516989477,0.0159448551,21.6383031001,0.0002542384,4.8730430006,1.6261787774,1.9333475753,-0.2165222168,1.8272599351,0.9999944663,0.0441371432,large,174,B
4.3986679369,0.0211697852,0.6981972093,0.0004481598,0.4874793430,-16.2687044294,-6.8774681997,1447.6008416132,45.3144558121,4.3987188792,0.7049642780,19.3487277785,0.4969746332,4.9609363079,1.6261787774,2.2405163732,-5.0000000000,1.2075193953,0.9999884188,-0.1382251309,large,174,A
4.6499943999,0.0420349015,0.0192134671,0.0017669329,0.0003691573,-57.0959430902,34.8616918349,3641.3636808449,2497.4021070191,4.6501843890,0.0192304076,21.6242148517,0.0003698086,4.8292489395,1.6261787774,1.7139194922,-0.1725769043,1.8242518126,0.9999591437,-0.0419651610,medium,44,B
4.3893245628,0.0070421975,0.0106563662,0.0000495925,0.0001135581,-5.4059996075,-28.8575248351,33.1555003349,1444.8172575874,4.3893302120,0.0107724730,19.2662197103,0.0001160462,4.4343394269,0.0466933195,4.3465987121,-0.5674743652,1.1866775957,0.9999987130,0.1464241770,small,13,A
4.6522243857,0.0166227899,0.0160420531,0.0002763171,0.0002573475,-57.8917801510,47.1719024029,8368.2938660939,3852.5374900626,4.6522540829,0.0160848791,21.6434680517,0.0002587233,4.8730430006,1.5822321238,1.8016602069,-0.2165222168,1.8287871063,0.9999936166,0.0729240321,large,174,B
4.6497402899,0.0220736665,2.1977304584,0.0004872468,4.8300191676,-35.8823955347,-1.0861275487,1857.6412615018,-0.8202731059,4.6497926846,2.5562670811,21.6205720100,6.5345013898,4.6975615711,0.3099154637,3.4690389721,-5.0000000000,1.8222860969,0.9999887318,-0.5107284027,small,13,A
4.6517391915,0.0245656913,0.0155507829,0.0006034732,0.0002418268,-66.5870438414,39.9625040324,6128.2794678461,3369.7990484605,4.6518040563,0.0155667981,21.6392809786,0.0002423252,4.8730430006,1.6261787774,1.7139194922,-0.2165222168,1.8278023149,0.9999860560,0.0453493038,large,174,B
4.3864480435,0.0213707389,0.0137247672,0.0004567085,0.0001883692,-56.8929252483,55.2944322729,6209.6803180689,5703.9206182378,4.3865001022,0.0138727700,19.2413831467,0.0001924537,4.8292489395,1.4506973479,1.9333475753,-0.4797363281,1.1808260597,0.9999881321,0.1456823734,medium,44,A
4.6501245162,0.0123327585,2.3703876728,0.0001520969,5.6187377195,-2.8921283217,-0.6730081567,7.2322420309,-1.5470292528,4.6501408702,2.9177536605,21.6238101129,8.5132864236,4.6975615711,0.2659688101,4.5660267953,-5.0000000000,1.8229883061,0.9999964831,-0.5830983442,small,13,A
4.6517097910,0.0277918893,0.0194236426,0.0007723891,0.0003772779,-83.9085295081,47.3530299419,8939.4429758065,3478.0147192501,4.6517928123,0.0194337472,21.6391763686,0.0003776705,4.8730430006,1.6261787774,1.6701254311,-0.1725769043,1.8278917482,0.9999821528,0.0322433895,medium,44,B
4.6515953102,0.0260488647,0.0122310681,0.0006785434,0.0001495990,-49.4825762799,-8.6895178583,3073.6844931578,206.7254615313,4.6516682463,0.0122357499,21.6380174733,0.0001497136,4.8292489395,0.1344340342,3.0303353984,-0.3919982910,1.8274884259,0.9999843205,0.0276607271,small,13,B
4.4020032037,0.0425469603,2.1454276796,0.0018102438,4.6028599283,-49.5372590090,-1.1982168114,3133.5107539518,-0.5642386954,4.4022088148,2.4649082719,19.3794424494,6.0757727888,4.4343394269,0.0466933195,1.7139194922,-5.0000000000,1.2162213048,0.9999532936,-0.4923656706,small,13,A
4.6501086673,0.0137830097,0.0150720732,0.0001899714,0.0002271674,-1.0532128748,-2.5613303444,19.6933858964,136.6286351473,4.6501290938,0.0151410206,21.6237005890,0.0002292505,4.8730430006,0.3537095248,4.5660267953,-0.3919982910,1.8229833848,0.9999956073,-0.0953238526,small,13,B
